"miR" "lung.cancer"
"302" "hsa-mir-4442" "1"
"303" "hsa-mir-4443" "1"
"304" "hsa-mir-4444" "1"
"305" "hsa-mir-4449" "1"
"306" "hsa-mir-4454" "1"
"307" "hsa-mir-4461" "1"
"308" "hsa-mir-4473" "1"
"309" "hsa-mir-4492" "1"
"310" "hsa-mir-4497" "1"
"311" "hsa-mir-449a" "1"
"312" "hsa-mir-449b" "1"
"313" "hsa-mir-449c" "1"
"314" "hsa-mir-450a" "1"
"315" "hsa-mir-450b" "1"
"316" "hsa-mir-451a" "1"
"317" "hsa-mir-452" "1"
"318" "hsa-mir-4521" "1"
"319" "hsa-mir-4524a" "1"
"320" "hsa-mir-4525" "1"
"321" "hsa-mir-4532" "1"
"322" "hsa-mir-4536" "1"
"323" "hsa-mir-454" "1"
"324" "hsa-mir-455" "1"
"325" "hsa-mir-4636" "1"
"326" "hsa-mir-4646" "1"
"327" "hsa-mir-4647" "1"
"328" "hsa-mir-4660" "1"
"329" "hsa-mir-4661" "1"
"330" "hsa-mir-4662a" "1"
"331" "hsa-mir-4668" "1"
"332" "hsa-mir-4676" "1"
"333" "hsa-mir-4677" "1"
"334" "hsa-mir-4684" "1"
"335" "hsa-mir-4685" "1"
"336" "hsa-mir-4690" "1"
"337" "hsa-mir-4699" "1"
"338" "hsa-mir-4709" "1"
"339" "hsa-mir-4728" "1"
"340" "hsa-mir-4732" "1"
"341" "hsa-mir-4740" "1"
"342" "hsa-mir-4741" "1"
"343" "hsa-mir-4746" "1"
"344" "hsa-mir-4749" "1"
"345" "hsa-mir-4762" "1"
"346" "hsa-mir-4770" "1"
"347" "hsa-mir-4772" "1"
"348" "hsa-mir-4781" "1"
"349" "hsa-mir-4786" "1"
"350" "hsa-mir-4787" "1"
"351" "hsa-mir-4788" "1"
"352" "hsa-mir-4791" "1"
"353" "hsa-mir-4797" "1"
"354" "hsa-mir-483" "1"
"355" "hsa-mir-484" "1"
"356" "hsa-mir-485" "1"
"357" "hsa-mir-486" "1"
"358" "hsa-mir-487a" "1"
"359" "hsa-mir-487b" "1"
"360" "hsa-mir-488" "1"
"361" "hsa-mir-489" "1"
"362" "hsa-mir-490" "1"
"363" "hsa-mir-491" "1"
"364" "hsa-mir-493" "1"
"365" "hsa-mir-494" "1"
"366" "hsa-mir-495" "1"
"367" "hsa-mir-496" "1"
"368" "hsa-mir-497" "1"
"369" "hsa-mir-4999" "1"
"370" "hsa-mir-499a" "1"
"371" "hsa-mir-5000" "1"
"372" "hsa-mir-5001" "1"
"373" "hsa-mir-5003" "1"
"374" "hsa-mir-500a" "1"
"375" "hsa-mir-500b" "1"
"376" "hsa-mir-501" "1"
"377" "hsa-mir-5010" "1"
"378" "hsa-mir-502" "1"
"379" "hsa-mir-503" "1"
"380" "hsa-mir-504" "1"
"381" "hsa-mir-505" "1"
"382" "hsa-mir-508" "1"
"383" "hsa-mir-509" "1"
"384" "hsa-mir-5090" "1"
"385" "hsa-mir-5091" "1"
"386" "hsa-mir-5100" "1"
"387" "hsa-mir-511" "1"
"388" "hsa-mir-514a" "1"
"389" "hsa-mir-5187" "1"
"390" "hsa-mir-532" "1"
"391" "hsa-mir-539" "1"
"392" "hsa-mir-541" "1"
"393" "hsa-mir-542" "1"
