"miR" "testes" "sample_num"
"230" "hsa-miR-16-1*" 0 57
"231" "hsa-miR-16-2*" 1 57
"232" "hsa-miR-17" 0 57
"233" "hsa-miR-17*" 1 57
"234" "hsa-miR-181a" 0 57
"235" "hsa-miR-181a*" 0 57
"236" "hsa-miR-181a-2*" 1 57
"237" "hsa-miR-181b" 0 57
"238" "hsa-miR-181c" 0 57
"239" "hsa-miR-181c*" 1 57
"240" "hsa-miR-181d" 0 57
"241" "hsa-miR-182" 1 57
"242" "hsa-miR-182*" 0 57
"243" "hsa-miR-1825" 0 57
"244" "hsa-miR-1827" 0 57
"245" "hsa-miR-183" 1 57
"246" "hsa-miR-183*" 0 57
"247" "hsa-miR-184" 0 57
"248" "hsa-miR-185" 0 57
"249" "hsa-miR-185*" 0 57
"250" "hsa-miR-186" 0 57
"251" "hsa-miR-186*" 1 57
"252" "hsa-miR-187" 0 57
"253" "hsa-miR-187*" 0 57
"254" "hsa-miR-188-3p" 0 57
"255" "hsa-miR-188-5p" 0 57
"256" "hsa-miR-18a" 1 57
"257" "hsa-miR-18a*" 0 57
"258" "hsa-miR-18b" 0 57
"259" "hsa-miR-18b*" 0 57
"260" "hsa-miR-190" 1 57
"261" "hsa-miR-1908" 1 57
"262" "hsa-miR-1909" 0 57
"263" "hsa-miR-1909*" 0 57
"264" "hsa-miR-190b" 0 57
"265" "hsa-miR-191" 1 57
"266" "hsa-miR-191*" 0 57
"267" "hsa-miR-1910" 0 57
"268" "hsa-miR-1911" 0 57
"269" "hsa-miR-1911*" 0 57
"270" "hsa-miR-1912" 0 57
"271" "hsa-miR-1913" 0 57
"272" "hsa-miR-1914" 0 57
"273" "hsa-miR-1914*" 0 57
"274" "hsa-miR-1915" 0 57
"275" "hsa-miR-1915*" 0 57
"276" "hsa-miR-192" 0 57
"277" "hsa-miR-192*" 0 57
"278" "hsa-miR-193a-3p" 0 57
"279" "hsa-miR-193a-5p" 0 57
"280" "hsa-miR-193b" 0 57
"281" "hsa-miR-193b*" 0 57
"282" "hsa-miR-194" 0 57
"283" "hsa-miR-194*" 0 57
"284" "hsa-miR-195" 0 57
"285" "hsa-miR-195*" 0 57
"286" "hsa-miR-196a" 1 57
"287" "hsa-miR-196a*" 0 57
"288" "hsa-miR-196b" 0 57
"289" "hsa-miR-196b*" 0 57
"290" "hsa-miR-197" 1 57
"291" "hsa-miR-1972" 0 57
"292" "hsa-miR-1973" 0 57
"293" "hsa-miR-1976" 0 57
"294" "hsa-miR-198" 0 57
"295" "hsa-miR-199a-3p" 0 57
"296" "hsa-miR-199a-5p" 0 57
"297" "hsa-miR-199b-3p" 0 57
"298" "hsa-miR-199b-5p" 0 57
"299" "hsa-miR-19a" 0 57
"300" "hsa-miR-19a*" 0 57
"301" "hsa-miR-19b" 1 57
"302" "hsa-miR-19b-1*" 1 57
"303" "hsa-miR-19b-2*" 0 57
"304" "hsa-miR-200a" 0 57
"305" "hsa-miR-200a*" 0 57
"306" "hsa-miR-200b" 1 57
"307" "hsa-miR-200b*" 0 57
"308" "hsa-miR-200c" 0 57
