"miR" "Alzheimer.s.disease" "sample_num"
"231" "hsa-miR-20b-5p" 6 6
"232" "hsa-miR-668" 6 6
"233" "hsa-miR-592" 6 6
"234" "hsa-miR-145-3p" 6 6
"235" "hsa-miR-377-3p" 6 6
"236" "hsa-miR-758-3p" 6 6
"237" "hsa-miR-124-5p" 6 6
"238" "hsa-miR-543" 6 6
"239" "hsa-miR-494" 6 6
"240" "hsa-miR-210" 6 6
"241" "hsa-miR-185-5p" 6 6
"242" "hsa-miR-22-5p" 6 6
"243" "hsa-miR-382-3p" 6 6
"244" "hsa-miR-199b-3p" 6 6
"245" "hsa-miR-377-5p" 6 6
"246" "hsa-miR-148b-5p" 6 6
"247" "hsa-miR-32-5p" 6 6
"248" "hsa-miR-7-1-3p" 6 6
"249" "hsa-miR-589-5p" 6 6
"250" "hsa-miR-455-5p" 6 6
"251" "hsa-miR-142-3p" 6 6
"252" "hsa-miR-155-5p" 6 6
"253" "hsa-miR-1301" 6 6
"254" "hsa-miR-30c-2-3p" 6 6
"255" "hsa-miR-501-3p" 6 6
"256" "hsa-miR-365b-3p" 6 6
"257" "hsa-miR-212-3p" 6 6
"258" "hsa-miR-941" 6 6
"259" "hsa-let-7b-3p" 6 6
"260" "hsa-miR-138-1-3p" 6 6
"261" "hsa-miR-221-5p" 6 6
"262" "hsa-miR-375" 6 6
"263" "hsa-miR-380-3p" 6 6
"264" "hsa-miR-346" 6 6
"265" "hsa-miR-411-3p" 6 6
"266" "hsa-miR-767-5p" 6 6
"267" "hsa-miR-628-3p" 6 6
"268" "hsa-miR-329" 6 6
"269" "hsa-miR-211-5p" 6 6
"270" "hsa-miR-873-3p" 6 6
"271" "hsa-miR-5683" 6 6
"272" "hsa-miR-424-5p" 6 6
"273" "hsa-miR-130b-3p" 6 6
"274" "hsa-miR-499a-5p" 6 6
"275" "hsa-miR-744-3p" 6 6
"276" "hsa-miR-29a-5p" 6 6
"277" "hsa-miR-376a-3p" 6 6
"278" "hsa-miR-770-5p" 6 6
"279" "hsa-miR-99b-3p" 6 6
"280" "hsa-miR-365a-3p" 6 6
"281" "hsa-miR-139-3p" 6 6
"282" "hsa-miR-154-5p" 6 6
"283" "hsa-miR-766-3p" 6 6
"284" "hsa-miR-3613-5p" 6 6
"285" "hsa-miR-1247-5p" 6 6
"286" "hsa-miR-2467-5p" 6 6
"287" "hsa-miR-590-3p" 6 6
"288" "hsa-miR-1224-5p" 6 6
"289" "hsa-miR-539-5p" 6 6
"290" "hsa-miR-1197" 6 6
"291" "hsa-miR-26b-3p" 6 6
"292" "hsa-miR-374b-3p" 6 6
"293" "hsa-miR-17-3p" 6 6
"294" "hsa-let-7e-3p" 6 6
"295" "hsa-miR-152" 6 6
"296" "hsa-miR-193a-5p" 6 6
"297" "hsa-miR-362-5p" 6 6
"298" "hsa-miR-548k" 6 6
"299" "hsa-miR-324-3p" 6 6
"300" "hsa-miR-146b-3p" 6 6
"301" "hsa-miR-320b" 6 6
"302" "hsa-miR-27b-5p" 6 6
"303" "hsa-miR-29b-2-5p" 6 6
"304" "hsa-let-7i-3p" 6 6
"305" "hsa-miR-18a-5p" 6 6
"306" "hsa-miR-2682-5p" 6 6
"307" "hsa-miR-6511b-3p" 6 6
"308" "hsa-miR-3912" 6 6
"309" "hsa-let-7f-2-3p" 6 6
"310" "hsa-miR-187-3p" 6 6
"311" "hsa-miR-1" 6 6
"312" "hsa-miR-379-3p" 6 6
"313" "hsa-miR-6511a-3p" 6 6
"314" "hsa-miR-299-5p" 6 6
"315" "hsa-miR-16-2-3p" 6 6
"316" "hsa-miR-505-3p" 6 6
"317" "hsa-miR-199a-5p" 6 6
"318" "hsa-miR-342-5p" 6 6
"319" "hsa-miR-1468" 6 6
"320" "hsa-miR-34b-5p" 6 6
"321" "hsa-miR-3065-3p" 6 6
"322" "hsa-miR-106a-5p" 6 6
"323" "hsa-miR-885-3p" 6 6
"324" "hsa-miR-184" 6 6
"325" "hsa-miR-130b-5p" 6 6
"326" "hsa-miR-1251" 6 6
"327" "hsa-miR-3117-3p" 6 6
"328" "hsa-miR-199b-5p" 6 6
"329" "hsa-miR-148a-5p" 6 6
"330" "hsa-miR-30c-1-3p" 6 6
"331" "hsa-miR-542-3p" 6 6
"332" "hsa-miR-655" 6 6
"333" "hsa-miR-3909" 6 6
"334" "hsa-miR-664a-5p" 6 6
"335" "hsa-miR-641" 6 6
"336" "hsa-miR-3943" 6 6
"337" "hsa-miR-1179" 6 6
"338" "hsa-miR-33a-3p" 6 6
"339" "hsa-miR-100-3p" 6 6
"340" "hsa-miR-26a-2-3p" 6 6
"341" "hsa-miR-3065-5p" 6 6
"342" "hsa-miR-331-5p" 6 6
"343" "hsa-miR-183-5p" 6 6
"344" "hsa-miR-3615" 6 6
"345" "hsa-miR-551b-3p" 6 6
"346" "hsa-let-7g-3p" 6 6
"347" "hsa-miR-3653" 6 6
"348" "hsa-miR-138-2-3p" 6 6
"349" "hsa-miR-4677-3p" 6 6
"350" "hsa-miR-491-5p" 6 6
"351" "hsa-miR-191-3p" 6 6
"352" "hsa-miR-195-3p" 6 6
"353" "hsa-miR-877-5p" 6 6
"354" "hsa-miR-4510" 6 6
"355" "hsa-miR-532-3p" 6 6
"356" "hsa-miR-5701" 6 6
"357" "hsa-miR-212-5p" 6 6
"358" "hsa-miR-4705" 6 6
"359" "hsa-miR-105-5p" 6 6
"360" "hsa-miR-450b-5p" 6 6
"361" "hsa-miR-208b" 6 6
"362" "hsa-miR-2355-5p" 6 6
"363" "hsa-miR-2277-5p" 6 6
"364" "hsa-miR-378i" 6 6
"365" "hsa-miR-1298" 6 6
"366" "hsa-miR-1306-5p" 6 6
"367" "hsa-miR-3605-3p" 6 6
"368" "hsa-miR-1260b" 6 6
"369" "hsa-miR-378a-5p" 6 6
"370" "hsa-miR-455-3p" 6 6
"371" "hsa-miR-154-3p" 6 6
"372" "hsa-miR-3676-5p" 6 6
"373" "hsa-miR-758-5p" 6 6
"374" "hsa-miR-24-1-5p" 6 6
"375" "hsa-miR-589-3p" 6 6
"376" "hsa-miR-671-5p" 6 6
"377" "hsa-miR-891a" 6 6
"378" "hsa-miR-218-1-3p" 6 6
"379" "hsa-miR-7-2-3p" 6 6
"380" "hsa-miR-516a-5p" 6 6
"381" "hsa-miR-339-5p" 6 6
"382" "hsa-miR-326" 6 6
"383" "hsa-miR-2110" 6 6
"384" "hsa-miR-940" 6 6
"385" "hsa-miR-337-3p" 6 6
"386" "hsa-miR-185-3p" 6 6
"387" "hsa-miR-450a-5p" 6 6
"388" "hsa-miR-378c" 6 6
"389" "hsa-miR-4443" 6 6
"390" "hsa-miR-1271-5p" 6 6
"391" "hsa-miR-125a-3p" 6 6
"392" "hsa-miR-200a-3p" 6 6
"393" "hsa-miR-488-5p" 6 6
"394" "hsa-miR-760" 6 6
"395" "hsa-miR-1286" 6 6
"396" "hsa-miR-550a-3p" 6 6
"397" "hsa-miR-548o-3p" 6 6
"398" "hsa-miR-409-5p" 6 6
"399" "hsa-miR-629-5p" 6 6
"400" "hsa-miR-93-3p" 6 6
"401" "hsa-miR-876-3p" 6 6
"402" "hsa-miR-376b-3p" 6 6
"403" "hsa-miR-181b-3p" 6 6
"404" "hsa-miR-431-5p" 6 6
"405" "hsa-miR-141-3p" 6 6
"406" "hsa-miR-31-3p" 6 6
"407" "hsa-miR-1225-3p" 6 6
"408" "hsa-miR-502-3p" 6 6
"409" "hsa-miR-454-5p" 6 6
"410" "hsa-miR-493-5p" 6 6
"411" "hsa-miR-200b-3p" 6 6
"412" "hsa-miR-659-5p" 6 6
"413" "hsa-miR-1287" 6 6
"414" "hsa-miR-24-2-5p" 6 6
"415" "hsa-miR-92b-5p" 6 6
"416" "hsa-miR-1229-3p" 6 6
"417" "hsa-miR-625-5p" 6 6
"418" "hsa-miR-496" 6 6
"419" "hsa-miR-15b-3p" 6 6
"420" "hsa-miR-34c-3p" 6 6
"421" "hsa-miR-4662a-5p" 6 6
"422" "hsa-miR-4787-3p" 6 6
"423" "hsa-miR-576-5p" 6 6
"424" "hsa-miR-1185-1-3p" 6 6
"425" "hsa-miR-337-5p" 6 6
"426" "hsa-miR-876-5p" 6 6
"427" "hsa-miR-561-5p" 6 6
"428" "hsa-miR-654-5p" 6 6
"429" "hsa-miR-200c-3p" 6 6
"430" "hsa-let-7f-1-3p" 6 6
"431" "hsa-miR-651" 6 6
"432" "hsa-miR-2113" 6 6
"433" "hsa-miR-486-3p" 6 6
"434" "hsa-miR-6716-3p" 6 6
"435" "hsa-miR-1260a" 6 6
"436" "hsa-miR-32-3p" 6 6
"437" "hsa-miR-203b-3p" 6 6
"438" "hsa-miR-3613-3p" 6 6
"439" "hsa-miR-491-3p" 6 6
"440" "hsa-miR-34a-3p" 6 6
"441" "hsa-miR-215" 6 6
"442" "hsa-miR-5680" 6 6
"443" "hsa-miR-193b-5p" 6 6
"444" "hsa-miR-652-5p" 6 6
"445" "hsa-miR-214-3p" 6 6
"446" "hsa-miR-1908" 6 6
"447" "hsa-miR-378d" 6 6
"448" "hsa-miR-1283" 6 6
"449" "hsa-miR-30b-3p" 6 6
"450" "hsa-miR-34b-3p" 6 6
"451" "hsa-miR-1252" 6 6
"452" "hsa-miR-323a-5p" 6 6
"453" "hsa-miR-432-3p" 6 6
"454" "hsa-miR-3622a-5p" 6 6
"455" "hsa-miR-18a-3p" 6 6
"456" "hsa-miR-625-3p" 6 6
"457" "hsa-miR-424-3p" 6 6
"458" "hsa-miR-519a-3p" 6 6
"459" "hsa-miR-1264" 6 6
"460" "hsa-miR-429" 6 6
"461" "hsa-miR-3200-5p" 6 6
"462" "hsa-miR-501-5p" 6 6
"463" "hsa-miR-5010-3p" 6 6
"464" "hsa-miR-1248" 6 6
"465" "hsa-miR-103a-2-5p" 6 6
"466" "hsa-miR-1343" 6 6
"467" "hsa-miR-29b-1-5p" 6 6
"468" "hsa-miR-490-5p" 6 6
"469" "hsa-miR-296-5p" 6 6
"470" "hsa-miR-4446-3p" 6 6
"471" "hsa-miR-2682-3p" 6 6
"472" "hsa-miR-653" 6 6
"473" "hsa-miR-135b-5p" 6 6
"474" "hsa-miR-452-5p" 6 6
"475" "hsa-miR-20a-3p" 6 6
"476" "hsa-miR-515-5p" 6 6
"477" "hsa-miR-188-5p" 6 6
"478" "hsa-miR-301a-5p" 6 6
"479" "hsa-miR-98-3p" 6 6
"480" "hsa-miR-6505-5p" 6 6
"481" "hsa-miR-18b-5p" 6 6
"482" "hsa-miR-5586-5p" 6 6
"483" "hsa-miR-381-5p" 6 6
"484" "hsa-miR-122-5p" 4 6
"485" "hsa-miR-224-5p" 6 6
"486" "hsa-miR-380-5p" 6 6
"487" "hsa-miR-503-5p" 6 6
"488" "hsa-miR-449a" 6 6
"489" "hsa-miR-542-5p" 6 6
"490" "hsa-miR-3158-3p" 6 6
"491" "hsa-miR-548ab" 6 6
"492" "hsa-miR-5688" 6 6
"493" "hsa-miR-618" 5 6
"494" "hsa-miR-1225-5p" 4 6
"495" "hsa-miR-3676-3p" 6 6
"496" "hsa-miR-1243" 6 6
"497" "hsa-miR-2681-5p" 6 6
"498" "hsa-miR-1250" 6 6
"499" "hsa-miR-3913-5p" 6 6
"500" "hsa-miR-3651" 4 6
"501" "hsa-miR-548e" 6 6
"502" "hsa-miR-204-3p" 6 6
"503" "hsa-miR-1285-3p" 6 6
