"miR" "mammary.gland" "num_samples"
"258" "hsa-mir-1908" 0 15
"259" "hsa-mir-1909" 0 15
"260" "hsa-mir-1909*" 0 15
"261" "hsa-mir-190b" 0 15
"262" "hsa-mir-191" 0 15
"263" "hsa-mir-191*" 6 15
"264" "hsa-mir-1910" 0 15
"265" "hsa-mir-1911" 0 15
"266" "hsa-mir-1911*" 1 15
"267" "hsa-mir-1912" 0 15
"268" "hsa-mir-1913" 0 15
"269" "hsa-mir-1914" 0 15
"270" "hsa-mir-1914*" 15 15
"271" "hsa-mir-1915" 15 15
"272" "hsa-mir-1915*" 0 15
"273" "hsa-mir-192" 14 15
"274" "hsa-mir-192*" 0 15
"275" "hsa-mir-193a-3p" 15 15
"276" "hsa-mir-193a-5p" 14 15
"277" "hsa-mir-193b" 14 15
"278" "hsa-mir-193b*" 5 15
"279" "hsa-mir-194" 9 15
"280" "hsa-mir-194*" 0 15
"281" "hsa-mir-195" 15 15
"282" "hsa-mir-195*" 1 15
"283" "hsa-mir-196a" 14 15
"284" "hsa-mir-196a*" 0 15
"285" "hsa-mir-196b" 15 15
"286" "hsa-mir-197" 15 15
"287" "hsa-mir-198" 5 15
"288" "hsa-mir-199a-3p" 15 15
"289" "hsa-mir-199a-5p" 15 15
"290" "hsa-mir-199b-5p" 15 15
"291" "hsa-mir-19a" 15 15
"292" "hsa-mir-19a*" 0 15
"293" "hsa-mir-19b" 15 15
"294" "hsa-mir-19b-1*" 4 15
"295" "hsa-mir-19b-2*" 0 15
"296" "hsa-mir-200a" 15 15
"297" "hsa-mir-200a*" 2 15
"298" "hsa-mir-200b" 15 15
"299" "hsa-mir-200b*" 7 15
"300" "hsa-mir-200c" 15 15
"301" "hsa-mir-200c*" 0 15
"302" "hsa-mir-202" 14 15
"303" "hsa-mir-202*" 0 15
"304" "hsa-mir-203" 13 15
"305" "hsa-mir-204" 14 15
"306" "hsa-mir-205" 15 15
"307" "hsa-mir-206" 0 15
"308" "hsa-mir-208a" 0 15
"309" "hsa-mir-208b" 0 15
"310" "hsa-mir-20a" 15 15
"311" "hsa-mir-20a*" 14 15
"312" "hsa-mir-20b" 15 15
"313" "hsa-mir-20b*" 0 15
"314" "hsa-mir-21" 15 15
"315" "hsa-mir-21*" 8 15
"316" "hsa-mir-210" 14 15
"317" "hsa-mir-211" 0 15
"318" "hsa-mir-212" 4 15
"319" "hsa-mir-214" 15 15
"320" "hsa-mir-214*" 12 15
"321" "hsa-mir-215" 14 15
"322" "hsa-mir-216a" 0 15
"323" "hsa-mir-216b" 0 15
"324" "hsa-mir-217" 0 15
"325" "hsa-mir-218" 15 15
"326" "hsa-mir-218-1*" 0 15
"327" "hsa-mir-218-2*" 0 15
"328" "hsa-mir-219-1-3p" 0 15
"329" "hsa-mir-219-2-3p" 0 15
"330" "hsa-mir-219-5p" 0 15
"331" "hsa-mir-22" 15 15
"332" "hsa-mir-22*" 7 15
"333" "hsa-mir-220a" 0 15
"334" "hsa-mir-220b" 0 15
"335" "hsa-mir-220c" 0 15
"336" "hsa-mir-221" 15 15
"337" "hsa-mir-221*" 10 15
"338" "hsa-mir-222" 9 15
"339" "hsa-mir-222*" 0 15
"340" "hsa-mir-223" 15 15
"341" "hsa-mir-223*" 0 15
"342" "hsa-mir-224" 15 15
"343" "hsa-mir-23a" 15 15
"344" "hsa-mir-23a*" 2 15
"345" "hsa-mir-23b" 15 15
"346" "hsa-mir-23b*" 1 15
"347" "hsa-mir-24" 15 15
"348" "hsa-mir-24-1*" 4 15
"349" "hsa-mir-24-2*" 0 15
"350" "hsa-mir-25" 15 15
"351" "hsa-mir-25*" 0 15
"352" "hsa-mir-26a" 15 15
"353" "hsa-mir-26a-1*" 0 15
"354" "hsa-mir-26a-2*" 0 15
"355" "hsa-mir-26b" 15 15
"356" "hsa-mir-26b*" 1 15
"357" "hsa-mir-27a" 15 15
"358" "hsa-mir-27a*" 0 15
"359" "hsa-mir-27b" 15 15
"360" "hsa-mir-27b*" 0 15
"361" "hsa-mir-28-3p" 1 15
"362" "hsa-mir-28-5p" 15 15
"363" "hsa-mir-296-3p" 0 15
"364" "hsa-mir-296-5p" 6 15
"365" "hsa-mir-297" 0 15
"366" "hsa-mir-298" 0 15
"367" "hsa-mir-299-3p" 4 15
"368" "hsa-mir-299-5p" 13 15
"369" "hsa-mir-29a" 15 15
"370" "hsa-mir-29a*" 4 15
"371" "hsa-mir-29b" 15 15
"372" "hsa-mir-29b-1*" 5 15
"373" "hsa-mir-29b-2*" 0 15
"374" "hsa-mir-29c" 15 15
"375" "hsa-mir-29c*" 15 15
"376" "hsa-mir-300" 0 15
"377" "hsa-mir-301a" 14 15
"378" "hsa-mir-301b" 0 15
"379" "hsa-mir-302a" 0 15
"380" "hsa-mir-302a*" 0 15
"381" "hsa-mir-302b" 0 15
"382" "hsa-mir-302b*" 0 15
"383" "hsa-mir-302c" 0 15
"384" "hsa-mir-302c*" 0 15
"385" "hsa-mir-302d" 0 15
"386" "hsa-mir-302d*" 0 15
"387" "hsa-mir-302e" 0 15
"388" "hsa-mir-302f" 0 15
"389" "hsa-mir-30a" 15 15
"390" "hsa-mir-30a*" 15 15
"391" "hsa-mir-30b" 15 15
"392" "hsa-mir-30b*" 7 15
"393" "hsa-mir-30c" 15 15
"394" "hsa-mir-30c-1*" 3 15
"395" "hsa-mir-30c-2*" 9 15
"396" "hsa-mir-30d" 15 15
"397" "hsa-mir-30d*" 1 15
"398" "hsa-mir-30e" 15 15
"399" "hsa-mir-30e*" 15 15
"400" "hsa-mir-31" 14 15
"401" "hsa-mir-31*" 13 15
"402" "hsa-mir-32" 4 15
"403" "hsa-mir-32*" 0 15
"404" "hsa-mir-320a" 15 15
"405" "hsa-mir-320b" 15 15
"406" "hsa-mir-320c" 15 15
"407" "hsa-mir-320d" 15 15
"408" "hsa-mir-323-3p" 1 15
"409" "hsa-mir-323-5p" 0 15
"410" "hsa-mir-324-3p" 15 15
"411" "hsa-mir-324-5p" 15 15
"412" "hsa-mir-325" 0 15
"413" "hsa-mir-326" 3 15
"414" "hsa-mir-328" 6 15
"415" "hsa-mir-329" 1 15
"416" "hsa-mir-330-3p" 2 15
"417" "hsa-mir-330-5p" 0 15
"418" "hsa-mir-331-3p" 15 15
"419" "hsa-mir-331-5p" 0 15
"420" "hsa-mir-335" 15 15
"421" "hsa-mir-335*" 10 15
"422" "hsa-mir-337-3p" 9 15
