"miR" "bone.marrow" "num_samples"
"368" "hsa-mir-411*" 0 13
"369" "hsa-mir-412" 0 13
"370" "hsa-mir-421" 1 13
"371" "hsa-mir-422a" 0 13
"372" "hsa-mir-423-3p" 0 13
"373" "hsa-mir-423-5p" 10 13
"374" "hsa-mir-424" 11 13
"375" "hsa-mir-424*" 0 13
"376" "hsa-mir-425" 13 13
"377" "hsa-mir-425*" 0 13
"378" "hsa-mir-429" 0 13
"379" "hsa-mir-431" 0 13
"380" "hsa-mir-431*" 2 13
"381" "hsa-mir-432" 0 13
"382" "hsa-mir-432*" 0 13
"383" "hsa-mir-433" 0 13
"384" "hsa-mir-448" 0 13
"385" "hsa-mir-449a" 0 13
"386" "hsa-mir-449b" 0 13
"387" "hsa-mir-450a" 1 13
"388" "hsa-mir-450b-3p" 0 13
"389" "hsa-mir-450b-5p" 0 13
"390" "hsa-mir-451" 13 13
"391" "hsa-mir-452" 0 13
"392" "hsa-mir-452*" 0 13
"393" "hsa-mir-453" 0 13
"394" "hsa-mir-454" 3 13
"395" "hsa-mir-454*" 0 13
"396" "hsa-mir-455-3p" 0 13
"397" "hsa-mir-455-5p" 0 13
"398" "hsa-mir-483-3p" 0 13
"399" "hsa-mir-483-5p" 8 13
"400" "hsa-mir-484" 7 13
"401" "hsa-mir-485-3p" 0 13
"402" "hsa-mir-485-5p" 0 13
"403" "hsa-mir-486-3p" 0 13
"404" "hsa-mir-486-5p" 6 13
"405" "hsa-mir-487a" 0 13
"406" "hsa-mir-487b" 4 13
"407" "hsa-mir-488" 0 13
"408" "hsa-mir-488*" 0 13
"409" "hsa-mir-489" 0 13
"410" "hsa-mir-490-3p" 0 13
"411" "hsa-mir-490-5p" 0 13
"412" "hsa-mir-491-3p" 0 13
"413" "hsa-mir-491-5p" 0 13
"414" "hsa-mir-492" 0 13
"415" "hsa-mir-493" 0 13
"416" "hsa-mir-493*" 0 13
"417" "hsa-mir-494" 13 13
"418" "hsa-mir-495" 0 13
"419" "hsa-mir-496" 0 13
"420" "hsa-mir-497" 2 13
"421" "hsa-mir-497*" 0 13
"422" "hsa-mir-498" 0 13
"423" "hsa-mir-499-3p" 0 13
"424" "hsa-mir-499-5p" 0 13
"425" "hsa-mir-500" 0 13
"426" "hsa-mir-500*" 0 13
"427" "hsa-mir-501-3p" 0 13
"428" "hsa-mir-501-5p" 0 13
"429" "hsa-mir-502-3p" 0 13
"430" "hsa-mir-502-5p" 0 13
"431" "hsa-mir-503" 0 13
"432" "hsa-mir-504" 0 13
"433" "hsa-mir-505" 2 13
"434" "hsa-mir-505*" 0 13
"435" "hsa-mir-506" 0 13
"436" "hsa-mir-507" 0 13
"437" "hsa-mir-508-3p" 0 13
"438" "hsa-mir-508-5p" 0 13
"439" "hsa-mir-509-3-5p" 0 13
"440" "hsa-mir-509-3p" 0 13
"441" "hsa-mir-509-5p" 0 13
"442" "hsa-mir-510" 0 13
