"miR" "adipose.tissue" "sample_num"
"255" "hsa-miR-181b-3p" 1 200
"256" "hsa-miR-181b-5p" 114 200
"257" "hsa-miR-181c-3p" 76 200
"258" "hsa-miR-181c-5p" 77 200
"259" "hsa-miR-181d" 105 200
"260" "hsa-miR-182-3p" 3 200
"261" "hsa-miR-1825" 0 200
"262" "hsa-miR-182-5p" 53 200
"263" "hsa-miR-1827" 0 200
"264" "hsa-miR-183-3p" 48 200
"265" "hsa-miR-183-5p" 53 200
"266" "hsa-miR-184" 49 200
"267" "hsa-miR-185-3p" 60 200
"268" "hsa-miR-185-5p" 55 200
"269" "hsa-miR-186-3p" 13 200
"270" "hsa-miR-186-5p" 76 200
"271" "hsa-miR-187-3p" 0 200
"272" "hsa-miR-187-5p" 0 200
"273" "hsa-miR-188-3p" 16 200
"274" "hsa-miR-188-5p" 51 200
"275" "hsa-miR-18a-3p" 53 200
"276" "hsa-miR-18a-5p" 62 200
"277" "hsa-miR-18b-3p" 37 200
"278" "hsa-miR-18b-5p" 51 200
"279" "hsa-miR-1908" 53 200
"280" "hsa-miR-1909-3p" 0 200
"281" "hsa-miR-1909-5p" 0 200
"282" "hsa-miR-190a" 74 200
"283" "hsa-miR-190b" 65 200
"284" "hsa-miR-1910" 0 200
"285" "hsa-miR-1911-3p" 0 200
"286" "hsa-miR-1911-5p" 0 200
"287" "hsa-miR-1912" 0 200
"288" "hsa-miR-1913" 0 200
"289" "hsa-miR-191-3p" 53 200
"290" "hsa-miR-1914-3p" 0 200
"291" "hsa-miR-1914-5p" 0 200
"292" "hsa-miR-1915-3p" 0 200
"293" "hsa-miR-1915-5p" 0 200
"294" "hsa-miR-191-5p" 35 200
"295" "hsa-miR-192-3p" 18 200
"296" "hsa-miR-192-5p" 67 200
"297" "hsa-miR-193a-3p" 84 200
"298" "hsa-miR-193a-5p" 95 200
"299" "hsa-miR-193b-3p" 81 200
"300" "hsa-miR-193b-5p" 45 200
"301" "hsa-miR-194-3p" 1 200
"302" "hsa-miR-194-5p" 61 200
"303" "hsa-miR-195-3p" 43 200
"304" "hsa-miR-195-5p" 60 200
"305" "hsa-miR-196a-3p" 48 200
"306" "hsa-miR-196a-5p" 21 200
"307" "hsa-miR-196b-3p" 25 200
"308" "hsa-miR-196b-5p" 19 200
"309" "hsa-miR-1972" 0 200
"310" "hsa-miR-1973" 0 200
"311" "hsa-miR-197-3p" 53 200
"312" "hsa-miR-197-5p" 0 200
"313" "hsa-miR-1976" 43 200
"314" "hsa-miR-198" 0 200
"315" "hsa-miR-199a-3p" 56 200
"316" "hsa-miR-199a-5p" 28 200
"317" "hsa-miR-199b-3p" 45 200
"318" "hsa-miR-199b-5p" 60 200
"319" "hsa-miR-19a-3p" 64 200
"320" "hsa-miR-19a-5p" 38 200
"321" "hsa-miR-19b-1-5p" 0 200
"322" "hsa-miR-19b-2-5p" 0 200
"323" "hsa-miR-19b-3p" 68 200
"324" "hsa-miR-200a-3p" 12 200
"325" "hsa-miR-200a-5p" 0 200
"326" "hsa-miR-200b-3p" 65 200
"327" "hsa-miR-200b-5p" 0 200
"328" "hsa-miR-200c-3p" 37 200
"329" "hsa-miR-200c-5p" 0 200
"330" "hsa-miR-202-3p" 0 200
"331" "hsa-miR-202-5p" 2 200
"332" "hsa-miR-203" 50 200
"333" "hsa-miR-204-3p" 0 200
"334" "hsa-miR-204-5p" 65 200
"335" "hsa-miR-2052" 0 200
"336" "hsa-miR-2053" 0 200
"337" "hsa-miR-205-3p" 0 200
"338" "hsa-miR-2054" 0 200
"339" "hsa-miR-205-5p" 10 200
"340" "hsa-miR-206" 0 200
"341" "hsa-miR-208a" 0 200
"342" "hsa-miR-208b" 0 200
"343" "hsa-miR-20a-3p" 38 200
"344" "hsa-miR-20a-5p" 58 200
"345" "hsa-miR-20b-3p" 34 200
"346" "hsa-miR-20b-5p" 61 200
"347" "hsa-miR-210" 61 200
"348" "hsa-miR-2110" 78 200
"349" "hsa-miR-211-3p" 0 200
"350" "hsa-miR-2114-3p" 0 200
"351" "hsa-miR-2114-5p" 0 200
"352" "hsa-miR-2115-3p" 3 200
"353" "hsa-miR-2115-5p" 0 200
"354" "hsa-miR-211-5p" 46 200
"355" "hsa-miR-2116-3p" 10 200
"356" "hsa-miR-2116-5p" 1 200
"357" "hsa-miR-2117" 0 200
"358" "hsa-miR-212-3p" 39 200
"359" "hsa-miR-212-5p" 54 200
"360" "hsa-miR-21-3p" 50 200
"361" "hsa-miR-214-3p" 35 200
"362" "hsa-miR-214-5p" 84 200
"363" "hsa-miR-215" 48 200
"364" "hsa-miR-21-5p" 85 200
"365" "hsa-miR-216a" 0 200
"366" "hsa-miR-216b" 0 200
"367" "hsa-miR-217" 0 200
"368" "hsa-miR-218-1-3p" 56 200
"369" "hsa-miR-218-2-3p" 0 200
"370" "hsa-miR-218-5p" 70 200
"371" "hsa-miR-219-1-3p" 14 200
"372" "hsa-miR-219-2-3p" 0 200
"373" "hsa-miR-219-5p" 10 200
"374" "hsa-miR-221-3p" 83 200
"375" "hsa-miR-221-5p" 73 200
"376" "hsa-miR-222-3p" 86 200
"377" "hsa-miR-222-5p" 5 200
"378" "hsa-miR-223-3p" 63 200
"379" "hsa-miR-223-5p" 55 200
"380" "hsa-miR-22-3p" 60 200
"381" "hsa-miR-224-3p" 31 200
"382" "hsa-miR-224-5p" 45 200
"383" "hsa-miR-22-5p" 85 200
"384" "hsa-miR-2276" 1 200
"385" "hsa-miR-2277-3p" 1 200
"386" "hsa-miR-2277-5p" 59 200
"387" "hsa-miR-2278" 0 200
"388" "hsa-miR-2355-3p" 8 200
"389" "hsa-miR-2355-5p" 60 200
"390" "hsa-miR-2392" 0 200
"391" "hsa-miR-23a-3p" 27 200
"392" "hsa-miR-23a-5p" 67 200
"393" "hsa-miR-23b-3p" 74 200
"394" "hsa-miR-23b-5p" 2 200
"395" "hsa-miR-23c" 9 200
"396" "hsa-miR-24-1-5p" 40 200
"397" "hsa-miR-24-2-5p" 89 200
"398" "hsa-miR-24-3p" 45 200
"399" "hsa-miR-2467-3p" 0 200
"400" "hsa-miR-2467-5p" 17 200
"401" "hsa-miR-25-3p" 61 200
"402" "hsa-miR-25-5p" 66 200
"403" "hsa-miR-2681-3p" 0 200
"404" "hsa-miR-2681-5p" 0 200
"405" "hsa-miR-2682-3p" 0 200
"406" "hsa-miR-2682-5p" 0 200
"407" "hsa-miR-26a-1-3p" 4 200
"408" "hsa-miR-26a-2-3p" 74 200
"409" "hsa-miR-26a-5p" 43 200
"410" "hsa-miR-26b-3p" 48 200
"411" "hsa-miR-26b-5p" 83 200
"412" "hsa-miR-27a-3p" 74 200
"413" "hsa-miR-27a-5p" 44 200
"414" "hsa-miR-27b-3p" 17 200
"415" "hsa-miR-27b-5p" 47 200
"416" "hsa-miR-28-3p" 18 200
"417" "hsa-miR-28-5p" 49 200
"418" "hsa-miR-2861" 0 200
"419" "hsa-miR-2909" 0 200
"420" "hsa-miR-296-3p" 1 200
"421" "hsa-miR-2964a-3p" 0 200
"422" "hsa-miR-2964a-5p" 0 200
"423" "hsa-miR-296-5p" 60 200
"424" "hsa-miR-297" 0 200
"425" "hsa-miR-298" 0 200
"426" "hsa-miR-299-3p" 60 200
"427" "hsa-miR-299-5p" 32 200
"428" "hsa-miR-29a-3p" 33 200
"429" "hsa-miR-29a-5p" 29 200
"430" "hsa-miR-29b-1-5p" 5 200
"431" "hsa-miR-29b-2-5p" 77 200
"432" "hsa-miR-29b-3p" 41 200
"433" "hsa-miR-29c-3p" 75 200
"434" "hsa-miR-29c-5p" 68 200
"435" "hsa-miR-300" 0 200
"436" "hsa-miR-301a-3p" 48 200
"437" "hsa-miR-301a-5p" 15 200
"438" "hsa-miR-301b" 61 200
"439" "hsa-miR-302a-3p" 0 200
"440" "hsa-miR-302a-5p" 0 200
"441" "hsa-miR-302b-3p" 0 200
"442" "hsa-miR-302b-5p" 0 200
"443" "hsa-miR-302c-3p" 0 200
"444" "hsa-miR-302c-5p" 0 200
"445" "hsa-miR-302d-3p" 0 200
"446" "hsa-miR-302d-5p" 0 200
