"miR" "ovary" "num_samples"
"491" "hsa-mir-374b*" 0 5
"492" "hsa-mir-375" 0 5
"493" "hsa-mir-376a" 0 5
"494" "hsa-mir-376a*" 0 5
"495" "hsa-mir-376b" 0 5
"496" "hsa-mir-376c" 0 5
"497" "hsa-mir-377" 1 5
"498" "hsa-mir-377*" 0 5
"499" "hsa-mir-378" 0 5
"500" "hsa-mir-378*" 0 5
"501" "hsa-mir-379" 0 5
"502" "hsa-mir-379*" 0 5
"503" "hsa-mir-380" 0 5
"504" "hsa-mir-380*" 0 5
"505" "hsa-mir-381" 0 5
"506" "hsa-mir-382" 0 5
"507" "hsa-mir-383" 0 5
"508" "hsa-mir-384" 0 5
"509" "hsa-mir-409-3p" 0 5
"510" "hsa-mir-409-5p" 0 5
"511" "hsa-mir-410" 0 5
"512" "hsa-mir-411" 0 5
"513" "hsa-mir-411*" 0 5
"514" "hsa-mir-412" 0 5
"515" "hsa-mir-421" 0 5
"516" "hsa-mir-422a" 0 5
"517" "hsa-mir-423-3p" 0 5
"518" "hsa-mir-423-5p" 4 5
"519" "hsa-mir-424" 4 5
"520" "hsa-mir-424*" 0 5
"521" "hsa-mir-425" 5 5
"522" "hsa-mir-425*" 0 5
"523" "hsa-mir-429" 0 5
"524" "hsa-mir-431" 0 5
"525" "hsa-mir-431*" 0 5
"526" "hsa-mir-432" 0 5
"527" "hsa-mir-432*" 0 5
"528" "hsa-mir-433" 0 5
"529" "hsa-mir-448" 0 5
"530" "hsa-mir-449a" 0 5
"531" "hsa-mir-449b" 0 5
"532" "hsa-mir-449b*" 0 5
"533" "hsa-mir-449c" 0 5
"534" "hsa-mir-449c*" 0 5
"535" "hsa-mir-450a" 0 5
"536" "hsa-mir-450b-3p" 0 5
"537" "hsa-mir-450b-5p" 0 5
"538" "hsa-mir-451" 5 5
"539" "hsa-mir-452" 0 5
"540" "hsa-mir-452*" 0 5
"541" "hsa-mir-454" 0 5
"542" "hsa-mir-454*" 0 5
"543" "hsa-mir-455-3p" 0 5
"544" "hsa-mir-455-5p" 0 5
"545" "hsa-mir-483-3p" 0 5
"546" "hsa-mir-483-5p" 5 5
"547" "hsa-mir-484" 1 5
"548" "hsa-mir-485-3p" 0 5
"549" "hsa-mir-485-5p" 0 5
"550" "hsa-mir-486-3p" 0 5
"551" "hsa-mir-486-5p" 5 5
"552" "hsa-mir-487a" 0 5
"553" "hsa-mir-487b" 0 5
"554" "hsa-mir-488" 0 5
"555" "hsa-mir-488*" 0 5
"556" "hsa-mir-489" 0 5
"557" "hsa-mir-490-3p" 0 5
"558" "hsa-mir-490-5p" 0 5
"559" "hsa-mir-491-3p" 0 5
"560" "hsa-mir-491-5p" 0 5
"561" "hsa-mir-492" 0 5
"562" "hsa-mir-493" 0 5
"563" "hsa-mir-493*" 0 5
"564" "hsa-mir-494" 4 5
"565" "hsa-mir-495" 0 5
"566" "hsa-mir-496" 0 5
"567" "hsa-mir-497" 1 5
"568" "hsa-mir-497*" 0 5
"569" "hsa-mir-498" 4 5
"570" "hsa-mir-499-3p" 0 5
"571" "hsa-mir-499-5p" 0 5
"572" "hsa-mir-500a" 0 5
"573" "hsa-mir-500a*" 0 5
"574" "hsa-mir-501-3p" 0 5
"575" "hsa-mir-501-5p" 0 5
"576" "hsa-mir-502-3p" 0 5
"577" "hsa-mir-502-5p" 0 5
"578" "hsa-mir-503" 0 5
"579" "hsa-mir-504" 0 5
"580" "hsa-mir-505" 0 5
"581" "hsa-mir-505*" 0 5
"582" "hsa-mir-506" 0 5
"583" "hsa-mir-507" 0 5
"584" "hsa-mir-508-3p" 0 5
"585" "hsa-mir-508-5p" 0 5
"586" "hsa-mir-509-3-5p" 0 5
"587" "hsa-mir-509-3p" 0 5
"588" "hsa-mir-509-5p" 0 5
"589" "hsa-mir-510" 0 5
"590" "hsa-mir-511" 0 5
"591" "hsa-mir-512-3p" 0 5
"592" "hsa-mir-512-5p" 0 5
"593" "hsa-mir-513a-3p" 0 5
"594" "hsa-mir-513a-5p" 5 5
"595" "hsa-mir-513b" 2 5
"596" "hsa-mir-513c" 1 5
"597" "hsa-mir-514" 0 5
"598" "hsa-mir-515-3p" 0 5
"599" "hsa-mir-515-5p" 0 5
"600" "hsa-mir-516a-3p" 0 5
