"miR" "kidney" "num_samples"
"413" "hsa-mir-326" 0 3
"414" "hsa-mir-328" 1 3
"415" "hsa-mir-329" 0 3
"416" "hsa-mir-330-3p" 0 3
"417" "hsa-mir-330-5p" 0 3
"418" "hsa-mir-331-3p" 3 3
"419" "hsa-mir-331-5p" 0 3
"420" "hsa-mir-335" 0 3
"421" "hsa-mir-335*" 0 3
"422" "hsa-mir-337-3p" 0 3
"423" "hsa-mir-337-5p" 0 3
"424" "hsa-mir-338-3p" 0 3
"425" "hsa-mir-338-5p" 0 3
"426" "hsa-mir-339-3p" 0 3
"427" "hsa-mir-339-5p" 0 3
"428" "hsa-mir-33a" 0 3
"429" "hsa-mir-33a*" 0 3
"430" "hsa-mir-33b" 0 3
"431" "hsa-mir-33b*" 0 3
"432" "hsa-mir-340" 0 3
"433" "hsa-mir-340*" 0 3
"434" "hsa-mir-342-3p" 2 3
"435" "hsa-mir-342-5p" 0 3
"436" "hsa-mir-345" 0 3
"437" "hsa-mir-346" 0 3
"438" "hsa-mir-34a" 3 3
"439" "hsa-mir-34a*" 0 3
"440" "hsa-mir-34b" 0 3
"441" "hsa-mir-34b*" 3 3
"442" "hsa-mir-34c-3p" 0 3
"443" "hsa-mir-34c-5p" 0 3
"444" "hsa-mir-361-3p" 2 3
"445" "hsa-mir-361-5p" 3 3
"446" "hsa-mir-362-3p" 0 3
"447" "hsa-mir-362-5p" 3 3
"448" "hsa-mir-363" 3 3
"449" "hsa-mir-363*" 0 3
"450" "hsa-mir-365" 3 3
"451" "hsa-mir-367" 0 3
"452" "hsa-mir-367*" 0 3
"453" "hsa-mir-369-3p" 0 3
"454" "hsa-mir-369-5p" 0 3
"455" "hsa-mir-370" 0 3
"456" "hsa-mir-371-3p" 0 3
"457" "hsa-mir-371-5p" 0 3
"458" "hsa-mir-372" 0 3
"459" "hsa-mir-373" 0 3
"460" "hsa-mir-373*" 0 3
"461" "hsa-mir-374a" 0 3
"462" "hsa-mir-374a*" 0 3
"463" "hsa-mir-374b" 1 3
"464" "hsa-mir-374b*" 0 3
"465" "hsa-mir-375" 0 3
"466" "hsa-mir-376a" 0 3
"467" "hsa-mir-376a*" 0 3
"468" "hsa-mir-376b" 0 3
"469" "hsa-mir-376c" 0 3
"470" "hsa-mir-377" 0 3
"471" "hsa-mir-377*" 0 3
"472" "hsa-mir-378" 3 3
"473" "hsa-mir-378*" 2 3
"474" "hsa-mir-379" 0 3
"475" "hsa-mir-379*" 0 3
"476" "hsa-mir-380" 0 3
"477" "hsa-mir-380*" 0 3
"478" "hsa-mir-381" 0 3
"479" "hsa-mir-382" 0 3
"480" "hsa-mir-383" 0 3
"481" "hsa-mir-384" 0 3
"482" "hsa-mir-409-3p" 0 3
"483" "hsa-mir-409-5p" 0 3
"484" "hsa-mir-410" 0 3
"485" "hsa-mir-411" 0 3
"486" "hsa-mir-411*" 0 3
"487" "hsa-mir-412" 0 3
"488" "hsa-mir-421" 0 3
"489" "hsa-mir-422a" 0 3
"490" "hsa-mir-423-3p" 0 3
"491" "hsa-mir-423-5p" 2 3
"492" "hsa-mir-424" 2 3
"493" "hsa-mir-424*" 1 3
"494" "hsa-mir-425" 1 3
"495" "hsa-mir-425*" 0 3
"496" "hsa-mir-429" 0 3
"497" "hsa-mir-431" 0 3
"498" "hsa-mir-431*" 0 3
"499" "hsa-mir-432" 0 3
"500" "hsa-mir-432*" 0 3
"501" "hsa-mir-433" 0 3
"502" "hsa-mir-448" 0 3
"503" "hsa-mir-449a" 0 3
"504" "hsa-mir-449b" 0 3
"505" "hsa-mir-450a" 0 3
"506" "hsa-mir-450b-3p" 0 3
"507" "hsa-mir-450b-5p" 0 3
"508" "hsa-mir-451" 3 3
"509" "hsa-mir-452" 0 3
"510" "hsa-mir-452*" 0 3
"511" "hsa-mir-453" 0 3
"512" "hsa-mir-454" 0 3
"513" "hsa-mir-454*" 0 3
"514" "hsa-mir-455-3p" 3 3
"515" "hsa-mir-455-5p" 0 3
"516" "hsa-mir-483-3p" 0 3
"517" "hsa-mir-483-5p" 2 3
"518" "hsa-mir-484" 1 3
"519" "hsa-mir-485-3p" 0 3
"520" "hsa-mir-485-5p" 0 3
"521" "hsa-mir-486-3p" 0 3
"522" "hsa-mir-486-5p" 1 3
"523" "hsa-mir-487a" 0 3
"524" "hsa-mir-487b" 0 3
"525" "hsa-mir-488" 0 3
"526" "hsa-mir-488*" 0 3
"527" "hsa-mir-489" 0 3
"528" "hsa-mir-490-3p" 0 3
"529" "hsa-mir-490-5p" 0 3
"530" "hsa-mir-491-3p" 0 3
"531" "hsa-mir-491-5p" 0 3
"532" "hsa-mir-492" 0 3
"533" "hsa-mir-493" 0 3
"534" "hsa-mir-493*" 0 3
"535" "hsa-mir-494" 1 3
"536" "hsa-mir-495" 0 3
"537" "hsa-mir-496" 0 3
