"miR" "placenta" "num_samples"
"409" "hsa-mir-628" 0 5
"410" "hsa-mir-629" 0 5
"411" "hsa-mir-630" 5 5
"412" "hsa-mir-631" 1 5
"413" "hsa-mir-632" 0 5
"414" "hsa-mir-633" 0 5
"415" "hsa-mir-634" 0 5
"416" "hsa-mir-635" 0 5
"417" "hsa-mir-636" 0 5
"418" "hsa-mir-637" 0 5
"419" "hsa-mir-638" 5 5
"420" "hsa-mir-639" 0 5
"421" "hsa-mir-640" 0 5
"422" "hsa-mir-641" 0 5
"423" "hsa-mir-642" 0 5
"424" "hsa-mir-643" 0 5
"425" "hsa-mir-644" 0 5
"426" "hsa-mir-645" 0 5
"427" "hsa-mir-646" 0 5
"428" "hsa-mir-647" 0 5
"429" "hsa-mir-648" 0 5
"430" "hsa-mir-649" 0 5
"431" "hsa-mir-650" 0 5
"432" "hsa-mir-651" 0 5
"433" "hsa-mir-652" 4 5
"434" "hsa-mir-653" 0 5
"435" "hsa-mir-654" 2 5
"436" "hsa-mir-655" 0 5
"437" "hsa-mir-656" 2 5
"438" "hsa-mir-657" 0 5
"439" "hsa-mir-658" 0 5
"440" "hsa-mir-659" 2 5
"441" "hsa-mir-660" 4 5
"442" "hsa-mir-661" 0 5
"443" "hsa-mir-662" 0 5
"444" "hsa-mir-663" 5 5
"445" "hsa-mir-668" 0 5
"446" "hsa-mir-671" 5 5
"447" "hsa-mir-675" 0 5
"448" "hsa-mir-7" 4 5
"449" "hsa-mir-758" 2 5
"450" "hsa-mir-765" 4 5
"451" "hsa-mir-766" 3 5
"452" "hsa-mir-767-3p" 0 5
"453" "hsa-mir-767-5p" 0 5
"454" "hsa-mir-768-3p" 5 5
"455" "hsa-mir-768-5p" 5 5
"456" "hsa-mir-769-3p" 0 5
"457" "hsa-mir-769-5p" 1 5
"458" "hsa-mir-770-5p" 0 5
"459" "hsa-mir-801" 5 5
"460" "hsa-mir-802" 0 5
"461" "hsa-mir-9" 0 5
"462" "hsa-mir-9*" 0 5
"463" "hsa-mir-92" 5 5
"464" "hsa-mir-92b" 0 5
"465" "hsa-mir-93" 5 5
"466" "hsa-mir-95" 0 5
"467" "hsa-mir-96" 0 5
"468" "hsa-mir-98" 3 5
"469" "hsa-mir-99a" 3 5
"470" "hsa-mir-99b" 5 5
