"miR" "melanoma" "sample_num"
"221" "hsa-miR-4475" 7 57
"222" "hsa-miR-219b-5p" 3 57
"223" "hsa-miR-29c-3p" 57 57
"224" "hsa-miR-4524b-3p" 0 57
"225" "hsa-miR-4726-3p" 0 57
"226" "hsa-miR-660-5p" 57 57
"227" "hsa-miR-34c-5p" 50 57
"228" "hsa-miR-6841-3p" 0 57
"229" "hsa-miR-219a-1-3p" 44 57
"230" "hsa-miR-212-5p" 50 57
"231" "hsa-miR-7107-5p" 0 57
"232" "hsa-miR-5100" 5 57
"233" "hsa-miR-101-3p" 57 57
"234" "hsa-miR-3121-3p" 0 57
"235" "hsa-miR-6747-5p" 0 57
"236" "hsa-miR-4485" 57 57
"237" "hsa-miR-4484" 48 57
"238" "hsa-miR-551a" 4 57
"239" "hsa-miR-4489" 0 57
"240" "hsa-miR-556-5p" 6 57
"241" "hsa-miR-4488" 55 57
"242" "hsa-miR-6726-3p" 0 57
"243" "hsa-miR-150-3p" 0 57
"244" "hsa-miR-4417" 3 57
"245" "hsa-miR-550a-3p" 56 57
"246" "hsa-miR-4753-5p" 2 57
"247" "hsa-miR-570-3p" 8 57
"248" "hsa-miR-4639-3p" 0 57
"249" "hsa-miR-6873-3p" 8 57
"250" "hsa-miR-3690" 21 57
"251" "hsa-miR-4638-5p" 0 57
"252" "hsa-miR-130a-3p" 57 57
"253" "hsa-miR-4745-3p" 1 57
"254" "hsa-miR-6895-3p" 0 57
"255" "hsa-miR-3194-3p" 15 57
"256" "hsa-miR-524-5p" 2 57
"257" "hsa-miR-6793-3p" 0 57
"258" "hsa-miR-33b-3p" 36 57
"259" "hsa-miR-4429" 1 57
"260" "hsa-miR-4428" 0 57
"261" "hsa-miR-3687" 31 57
"262" "hsa-miR-504-3p" 0 57
"263" "hsa-miR-1245a" 0 57
"264" "hsa-miR-1915-5p" 0 57
"265" "hsa-miR-4425" 16 57
"266" "hsa-miR-4424" 0 57
"267" "hsa-miR-4427" 0 57
"268" "hsa-miR-6771-5p" 0 57
"269" "hsa-miR-4426" 0 57
"270" "hsa-miR-454-5p" 56 57
"271" "hsa-miR-4420" 0 57
"272" "hsa-miR-4421" 8 57
"273" "hsa-miR-6758-5p" 0 57
"274" "hsa-miR-4422" 0 57
"275" "hsa-miR-3683" 0 57
"276" "hsa-miR-3684" 0 57
"277" "hsa-miR-3685" 0 57
"278" "hsa-miR-7107-3p" 0 57
"279" "hsa-miR-101-5p" 12 57
"280" "hsa-miR-323b-5p" 0 57
"281" "hsa-miR-522-3p" 6 57
"282" "hsa-miR-4437" 0 57
"283" "hsa-miR-3152-5p" 1 57
"284" "hsa-miR-4435" 51 57
"285" "hsa-miR-4439" 0 57
"286" "hsa-miR-4430" 0 57
"287" "hsa-miR-6895-5p" 0 57
"288" "hsa-miR-4638-3p" 23 57
"289" "hsa-miR-514a-3p" 45 57
"290" "hsa-miR-4434" 0 57
"291" "hsa-miR-6771-3p" 0 57
"292" "hsa-miR-4431" 8 57
"293" "hsa-miR-4432" 0 57
"294" "hsa-miR-4699-3p" 0 57
"295" "hsa-miR-4745-5p" 38 57
"296" "hsa-miR-1233-3p" 0 57
"297" "hsa-miR-33b-5p" 45 57
"298" "hsa-miR-6828-5p" 0 57
"299" "hsa-miR-501-5p" 54 57
"300" "hsa-miR-6857-5p" 0 57
"301" "hsa-miR-4449" 30 57
"302" "hsa-miR-4448" 57 57
"303" "hsa-miR-1915-3p" 0 57
"304" "hsa-miR-4440" 7 57
"305" "hsa-miR-589-3p" 56 57
"306" "hsa-miR-4442" 0 57
"307" "hsa-miR-4443" 0 57
"308" "hsa-miR-4444" 0 57
"309" "hsa-miR-1295b-5p" 1 57
"310" "hsa-miR-3152-3p" 0 57
"311" "hsa-miR-580-5p" 0 57
"312" "hsa-miR-6758-3p" 0 57
"313" "hsa-miR-6870-5p" 0 57
"314" "hsa-miR-891a-5p" 12 57
"315" "hsa-miR-607" 0 57
"316" "hsa-miR-4788" 4 57
"317" "hsa-miR-603" 0 57
"318" "hsa-miR-602" 0 57
"319" "hsa-miR-600" 0 57
"320" "hsa-miR-26a-2-3p" 39 57
"321" "hsa-miR-6738-5p" 0 57
"322" "hsa-miR-103a-3p" 57 57
"323" "hsa-miR-195-3p" 23 57
"324" "hsa-miR-6854-3p" 0 57
"325" "hsa-miR-6831-5p" 0 57
"326" "hsa-miR-2355-5p" 52 57
"327" "hsa-miR-5088-5p" 0 57
"328" "hsa-let-7a-3p" 57 57
"329" "hsa-miR-4780" 5 57
"330" "hsa-miR-6885-5p" 0 57
"331" "hsa-miR-4785" 1 57
"332" "hsa-miR-205-5p" 7 57
"333" "hsa-miR-608" 0 57
"334" "hsa-miR-138-5p" 57 57
"335" "hsa-miR-4784" 0 57
"336" "hsa-miR-609" 0 57
"337" "hsa-miR-618" 0 57
"338" "hsa-miR-129-5p" 45 57
"339" "hsa-miR-4779" 0 57
"340" "hsa-miR-1185-2-3p" 3 57
"341" "hsa-miR-612" 0 57
"342" "hsa-miR-6512-5p" 0 57
"343" "hsa-miR-613" 0 57
"344" "hsa-miR-3692-3p" 0 57
"345" "hsa-miR-33a-5p" 55 57
"346" "hsa-miR-4714-3p" 0 57
"347" "hsa-miR-133b" 0 57
"348" "hsa-miR-610" 0 57
"349" "hsa-miR-129-2-3p" 8 57
