"pancreatic.cancer" "pancreatic.cancer" "num_rep" "sample_num"
"464" "hsa-miR-526b-3p" 0 1 8
"465" "hsa-miR-519b-5p" 0 1 8
"466" "hsa-miR-519b-3p" 0 1 8
"467" "hsa-miR-525-5p" 0 1 8
"468" "hsa-miR-525-3p" 0 1 8
"469" "hsa-miR-523-5p" 0 1 8
"470" "hsa-miR-523-3p" 0 1 8
"471" "hsa-miR-518f-5p" 0 1 8
"472" "hsa-miR-518f-3p" 0 1 8
"473" "hsa-miR-520b" 0 1 8
"474" "hsa-miR-518b" 0 1 8
"475" "hsa-miR-526a" 0 1 8
"476" "hsa-miR-520c-5p" 0 1 8
"477" "hsa-miR-520c-3p" 0 1 8
"478" "hsa-miR-518c-5p" 0 1 8
"479" "hsa-miR-518c-3p" 0 1 8
"480" "hsa-miR-524-5p" 0 1 8
"481" "hsa-miR-524-3p" 0 1 8
"482" "hsa-miR-517-5p" 0 1 8
"483" "hsa-miR-517a-3p" 0 1 8
"484" "hsa-miR-519d-5p" 0 1 8
"485" "hsa-miR-519d-3p" 0 1 8
"486" "hsa-miR-521" 0 1 8
"487" "hsa-miR-520d-5p" 0 1 8
"488" "hsa-miR-520d-3p" 0 1 8
"489" "hsa-miR-517b-3p" 0 1 8
"490" "hsa-miR-520g-5p" 0 1 8
"491" "hsa-miR-520g-3p" 0 1 8
"492" "hsa-miR-516b-5p" 3 1 8
"493" "hsa-miR-516b-3p" 0 1 8
"494" "hsa-miR-518e-5p" 0 1 8
"495" "hsa-miR-518e-3p" 0 1 8
"496" "hsa-miR-518a-5p" 0 1 8
"497" "hsa-miR-518a-3p" 0 1 8
"498" "hsa-miR-518d-5p" 0 1 8
"499" "hsa-miR-518d-3p" 0 1 8
"500" "hsa-miR-517c-3p" 0 1 8
"501" "hsa-miR-520h" 0 1 8
"502" "hsa-miR-522-5p" 0 1 8
"503" "hsa-miR-522-3p" 0 1 8
"504" "hsa-miR-519a-5p" 0 1 8
"505" "hsa-miR-519a-3p" 0 1 8
"506" "hsa-miR-527" 0 1 8
"507" "hsa-miR-516a-5p" 1 1 8
"508" "hsa-miR-516a-3p" 0 1 8
"509" "hsa-miR-499a-5p" 5 1 8
"510" "hsa-miR-499a-3p" 0 1 8
"511" "hsa-miR-500a-5p" 7 1 8
"512" "hsa-miR-500a-3p" 8 1 8
"513" "hsa-miR-501-5p" 8 1 8
"514" "hsa-miR-501-3p" 8 1 8
"515" "hsa-miR-502-5p" 5 1 8
"516" "hsa-miR-502-3p" 8 1 8
"517" "hsa-miR-450a-2-3p" 2 1 8
"518" "hsa-miR-503-5p" 7 1 8
"519" "hsa-miR-503-3p" 2 1 8
"520" "hsa-miR-504-5p" 3 1 8
"521" "hsa-miR-504-3p" 0 1 8
"522" "hsa-miR-505-5p" 8 1 8
"523" "hsa-miR-505-3p" 8 1 8
"524" "hsa-miR-513a-5p" 0 1 8
"525" "hsa-miR-513a-3p" 0 1 8
"526" "hsa-miR-506-5p" 0 1 8
"527" "hsa-miR-506-3p" 2 1 8
"528" "hsa-miR-507" 0 1 8
"529" "hsa-miR-508-5p" 1 1 8
"530" "hsa-miR-508-3p" 2 1 8
"531" "hsa-miR-509-5p" 1 1 8
